,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,Website
17,1859.8421052631575,1562.9473684210523,11730.842105263164,38475.263157894755,112054.52631578958,174507.052631579,238012.6315789473,289774.8421052632,317471.84210526315,346014.0526315791,399528.6842105263,458893.6842105258,508144.1052631576,496588.4210526317,495968.5263157887,499540.21052631596,578586.8421052638,630509.6842105256,654462.0,www.cnbc.com
18,1636.5789473684215,9674.578947368422,43079.78947368421,86606.78947368423,96652.00000000044,194496.99999999988,365545.05263157934,513817.4736842103,514283.0526315801,458010.684210529,411128.89473684254,572269.1578947364,674452.2631578939,692962.9473684207,705442.1578947369,772001.0526315788,780218.9473684209,823807.9473684204,857383.0,www.cnbc.com
19,2627.052631578948,3247.8421052631597,14634.631578947381,55667.315789473694,121087.36842105263,163640.94736842116,216722.94736842095,299469.9999999999,409268.0,491206.6315789474,596711.2105263158,655857.1052631576,676964.3684210529,691253.1052631586,699561.6315789483,716620.7894736849,767662.7894736845,809618.3684210527,807742.0,www.cnbc.com
20,2435.052631578947,1673.315789473684,1289.1578947368416,17091.578947368424,47882.105263157864,92997.05263157896,139389.05263157893,180780.7894736842,215817.94736842118,285926.1578947367,322382.47368421056,344018.78947368416,390952.36842105293,439460.47368421033,541624.5789473696,596370.0526315786,556142.3684210533,516554.99999999895,454515.0,www.cnn.com
21,1305.1578947368416,2497.842105263159,11341.894736842105,38514.52631578948,62199.26315789474,121979.26315789485,157131.36842105247,198181.68421052644,246971.4736842105,276360.10526315786,314391.57894736837,371106.52631578955,421407.6842105264,454528.9473684213,498555.789473684,509603.368421053,592347.8947368421,604649.4736842106,637988.0,www.cnn.com
22,2152.578947368421,1118.4736842105258,5082.4210526315865,23949.894736842107,49993.78947368421,72626.947368421,117728.31578947388,182043.78947368433,215298.42105263154,215511.57894736846,244738.21052631567,330561.68421052664,393751.0526315785,365768.21052631544,381856.10526315833,482575.5789473688,563083.6842105261,499506.2631578946,407210.0,www.cnn.com
23,1493.4736842105265,2151.5263157894733,7165.526315789478,31274.78947368421,64211.210526315794,87440.68421052638,175151.6315789472,201833.73684210528,253509.52631578955,297183.4210526317,326091.4210526316,382273.1052631578,387001.9473684211,556380.2631578939,547635.6315789466,617106.1578947367,694969.3157894742,680787.2105263161,733883.0,www.cnn.com
24,1870.1052631578943,1458.8947368421059,3933.7894736842113,22692.315789473694,50566.31578947369,85771.57894736843,131729.05263157896,150416.1052631579,188433.3684210527,247833.78947368427,287653.36842105264,307891.15789473685,329586.52631578944,386658.10526315775,417316.947368421,482779.2631578946,480494.842105263,499185.0526315791,508324.0,www.cnn.com
25,2529.2105263157887,1858.2631578947355,1505.631578947367,22685.84210526319,61601.84210526315,87077.21052631571,146980.57894736843,192155.52631578947,223369.84210526332,283312.1578947368,287926.47368421045,328389.4210526318,385176.7894736842,401836.15789473685,419179.5263157894,460038.0526315793,489276.3684210534,509077.1578947371,519741.0,www.cnn.com
26,1493.4736842105265,2151.5263157894733,7165.526315789478,29830.78947368421,52583.21052631577,106972.68421052628,110627.63157894753,206849.73684210522,247961.52631578944,293611.4210526316,345319.4210526316,422249.1052631577,385253.9473684212,510780.26315789414,511991.631578947,557066.1578947367,659401.315789474,667487.2105263161,726663.0,www.cnn.com
27,2152.578947368421,1118.4736842105258,10157.315789473681,30024.42105263158,50960.68421052631,77506.42105263153,149094.2631578948,242937.15789473694,281853.63157894736,306575.36842105264,355827.8421052631,402018.73684210563,431122.57894736814,421340.3157894734,426141.4210526318,473548.3157894738,514727.5263157894,499112.52631578944,455295.0,www.cnn.com
28,1493.4736842105265,2151.5263157894733,10660.000000000002,34351.15789473684,69838.3157894737,104943.15789473685,177529.68421052623,207366.1052631579,308422.7368421056,331880.6315789476,379047.7894736843,467567.1578947366,456564.4210526317,572723.3684210521,590046.947368421,638560.4210526316,678385.4736842104,702412.6315789473,682700.0,www.cnn.com
