,num_pkts_uplink,num_pkts_downlink,total_bytes_uplink,min_pkt_size_uplink,max_pkt_size_uplink,mean_pkt_size_uplink,std_pkt_size_uplink,total_bytes_downlink,min_pkt_size_downlink,max_pkt_size_downlink,mean_pkt_size_downlink,std_pkt_size_downlink,min_iat_uplink,max_iat_uplink,mean_iat_uplink,std_iat_uplink,min_iat_downlink,max_iat_downlink,mean_iat_downlink,std_iat_downlink,website
19,199,206,11175.0,40.0,569.0,56.15577889447236,37.74343014970973,1316438.0,52.0,13048.0,6390.47572815534,3646.7594230565724,4e-06,0.055439,0.0014531666666666666,0.004214560630374962,0.0,0.06622,0.0013476682926829267,0.004757036511298085,www.nytimes.com
20,152,154,8731.0,40.0,569.0,57.44078947368421,43.13857749447445,1313905.0,52.0,17380.0,8531.85064935065,5348.133865218194,6e-06,0.055177,0.00167417880794702,0.004835415149479366,1e-06,0.065987,0.001577503267973856,0.005483807179856391,www.nytimes.com
21,16,16,1635.0,40.0,569.0,102.1875,127.30133214804418,6162.0,52.0,2940.0,385.125,794.0267732681731,7e-06,0.054398,0.0070118,0.014081879760884198,1e-06,0.065491,0.006229599999999999,0.016901211992888892,www.theguardian.com
22,16,17,1635.0,40.0,569.0,102.1875,127.30133214804418,6237.0,52.0,2940.0,366.88235294117646,772.5308151097389,8e-06,0.056574,0.007397733333333334,0.014733470924912367,0.0,0.067718,0.006215875,0.016895761854678233,www.theguardian.com
23,16,17,1635.0,40.0,569.0,102.1875,127.30133214804418,6237.0,52.0,2940.0,366.88235294117646,772.5308151097389,8e-06,0.056465,0.007169933333333332,0.014574020993665735,1e-06,0.067364,0.006013625,0.01682237146530377,www.theguardian.com
24,14,12,1439.0,40.0,569.0,102.78571428571429,138.6041283497876,7531.0,52.0,2948.0,627.5833333333334,878.7636416459137,1e-05,0.140415,0.019789076923076923,0.039454471405789435,3e-06,0.129541,0.02235272727272727,0.040799566720961404,www.timesofindia.com
25,15,12,1479.0,40.0,569.0,98.6,134.54250523267996,7531.0,52.0,2948.0,627.5833333333334,878.7636416459137,1e-05,0.088021,0.010710857142857143,0.022781957638099842,2e-06,0.098837,0.01260618181818182,0.028993004352147366,www.timesofindia.com
26,14,11,1439.0,40.0,569.0,102.78571428571429,138.6041283497876,7479.0,52.0,2948.0,679.9090909090909,901.8351794585809,9e-06,0.089612,0.012068615384615388,0.02402319824162491,2e-06,0.10036,0.014556200000000002,0.030794019959870276,www.timesofindia.com
27,12,9,1457.0,52.0,569.0,121.41666666666667,143.69187889580283,5150.0,52.0,2948.0,572.2222222222222,958.9814619920683,7e-06,0.06255,0.014002909090909092,0.022051103357675985,2e-06,0.073417,0.024288249999999997,0.02990822399441331,www.washingtonpost.com
28,12,9,1457.0,52.0,569.0,121.41666666666667,143.69187889580283,5150.0,52.0,2948.0,572.2222222222222,958.9814619920683,7e-06,0.059604,0.009860454545454547,0.017436933459548647,1e-06,0.070482,0.018992750000000003,0.027905519416928464,www.washingtonpost.com
29,12,10,1457.0,52.0,569.0,121.41666666666667,143.69187889580283,5202.0,52.0,2948.0,520.2,918.9808122770211,6e-06,0.054121,0.009085545454545456,0.01583979080899515,2e-06,0.065035,0.015576444444444445,0.024923848203633758,www.washingtonpost.com
