,num_pkts_uplink,num_pkts_downlink,total_bytes_uplink,min_pkt_size_uplink,max_pkt_size_uplink,mean_pkt_size_uplink,std_pkt_size_uplink,total_bytes_downlink,min_pkt_size_downlink,max_pkt_size_downlink,mean_pkt_size_downlink,std_pkt_size_downlink,min_iat_uplink,max_iat_uplink,mean_iat_uplink,std_iat_uplink,min_iat_downlink,max_iat_downlink,mean_iat_downlink,std_iat_downlink,website
19,120,162,7054.0,40.0,569.0,58.78333333333333,48.467468658960144,2082565.0,52.0,56524.0,12855.339506172839,14040.569368825107,4e-06,0.056028,0.0010211848739495797,0.005226745513266091,0.0,0.058258,0.000738583850931677,0.004678815068421445,www.cnbc.com
20,116,122,6830.0,40.0,569.0,58.87931034482759,49.1024050012985,2634530.0,52.0,56368.0,21594.508196721312,21182.314275207307,4e-06,0.056284,0.001085078260869565,0.00528117283150984,1e-06,0.057862,0.001014,0.005295738810591021,www.cnn.com
21,118,130,6934.0,40.0,569.0,58.76271186440678,48.68908474986481,2635300.0,52.0,56368.0,20271.53846153846,19108.603820161054,5e-06,0.063375,0.0013018547008547007,0.005870340493069225,1e-06,0.065295,0.0011614573643410854,0.005767507022112857,www.cnn.com
22,108,125,6414.0,40.0,569.0,59.388888888888886,50.86758204816495,2635043.0,52.0,56368.0,21080.344,20746.4319567766,4e-06,0.06447,0.0012371308411214953,0.006250040096602116,1e-06,0.066188,0.0010506290322580645,0.005972266019358108,www.cnn.com
23,116,122,6830.0,40.0,569.0,58.87931034482759,49.1024050012985,2634303.0,52.0,56368.0,21592.647540983606,20411.101346584193,8e-06,0.06097,0.001255130434782609,0.005698623985221591,1e-06,0.062799,0.0011733553719008264,0.005728003121885066,www.cnn.com
24,106,123,6310.0,40.0,569.0,59.528301886792455,51.339432083075856,2634907.0,52.0,56368.0,21422.0081300813,20461.84140732749,5e-06,0.082349,0.001578295238095238,0.008052756147770644,1e-06,0.084072,0.0013355983606557378,0.007640304017640971,www.cnn.com
25,100,117,5998.0,40.0,569.0,59.98,52.83784609347717,2634655.0,52.0,56368.0,22518.418803418805,21349.438800360374,6e-06,0.088762,0.0017708585858585858,0.00902862051411849,1e-06,0.090355,0.001494146551724138,0.008504962653859994,www.cnn.com
26,112,125,6622.0,40.0,569.0,59.125,49.961629421130915,2634459.0,52.0,56368.0,21075.672,19137.062911624762,5e-06,0.055374,0.0012184054054054047,0.005270812365157557,0.0,0.057178,0.001072685483870968,0.005157834754580639,www.cnn.com
27,114,121,6726.0,40.0,569.0,59.0,49.52642987978407,2634437.0,52.0,56368.0,21772.206611570247,21374.424381301033,5e-06,0.056239,0.0011634955752212388,0.0053117614698823465,1e-06,0.057956,0.0010765583333333334,0.005314813382489199,www.cnn.com
28,117,126,6882.0,40.0,569.0,58.82051282051282,48.89443508716886,2634489.0,52.0,56368.0,20908.64285714286,20657.910892039126,6e-06,0.05469,0.0010948448275862072,0.005091798781166245,1e-06,0.056304,0.0009980800000000001,0.005054479041468583,www.cnn.com
